F_final,L0_cos,L1_cos,L2_cos,L3_cos,L4_cos,L5_cos,L6_cos,L7_cos,L8_cos,L9_cos,L_final,T,alpha,cos,cos_alpha0,cos_alpha_sel,dual_norm,eta_h,front_0p9,mean_layer_cos,norm_ratio,ok
2.289825439453125,0.9839859640867802,0.9745136969311124,0.9638030731845598,0.943922985260491,0.9326796470900596,0.9284824998139096,0.91464568178015,0.924920282736919,0.944940637825273,0.9354733719313545,0.8913795948028564,16,1.0,0.6145819425582886,,,33.29754638671875,0.125,10,0.9447367840640609,0.3993593120512485,True
4.062990188598633,0.9644532101164411,0.9456571805036034,0.9234409805399877,0.9019389925649817,0.905897663735115,0.9206476620016404,0.9218243818224714,0.9354611645815577,0.9498837951198176,0.9619509858512633,0.9232240915298462,16,2.0,0.7132301330566406,,,44.86397933959961,0.125,10,0.933115601683688,0.44907993064633706,True
8.083054542541504,0.9037237922939402,0.9106004489584202,0.9046873754849432,0.8889304042042879,0.8914990832012172,0.8936239976111038,0.8937222837663685,0.9010999719786783,0.919476847543462,0.9138290496645687,1.2027819156646729,16,4.0,0.9056558012962341,,,64.48692321777344,0.125,6,0.902119325470699,0.6556210903909241,True
,,,,,,,,,,,,1,,,0.5770739912986755,0.5770739912986755,,0.0625,,,,True
,,,,,,,,,,,,2,,,0.5766153931617737,0.5777608752250671,,0.0625,,,,True
,,,,,,,,,,,,4,,,0.571677029132843,0.5756489634513855,,0.0625,,,,True
,,,,,,,,,,,,8,,,0.5610786080360413,0.5650277733802795,,0.0625,,,,True
,,,,,,,,,,,,16,,,0.5465330481529236,0.5935753583908081,,0.0625,,,,True
,,,,,,,,,,,,32,,,0.5302530527114868,0.7267854809761047,,0.0625,,,,True
,,,,,,,,,,,,64,,,0.513899564743042,0.910107433795929,,0.0625,,,,True
,0.06631932268170317,0.5773404210837917,0.9879068972229252,0.9905862383881986,0.9867131255351668,0.9824720997966608,0.9719375108039126,0.9580149624226391,0.9459783358459778,0.9232807204273652,,16,0.0,,,,,0.0625,,,,True
,0.9917074336063932,0.9932705659523536,0.9912852076979894,0.9857896301486689,0.9799569767831067,0.9727529886557137,0.9524758251987852,0.9355349263144355,0.9476125577606993,0.9593562721928581,,16,1.0,,,,,0.0625,,,,True
